CustomerID,Recency,Frequency,Monetary,Churn,Cluster
12346,326,13,43467.106499999914,1,0
12347,2,15,9231.53,0,0
12348,75,9,3816.64,0,0
12349,19,5,6186.24,0,0
12350,310,2,668.8,1,1
12351,375,1,300.93,1,1
12352,36,18,5355.88,0,0
12353,204,3,495.76,1,1
12354,232,2,2158.8,1,1
12355,214,3,1407.01,1,1
12356,23,9,9183.16,0,0
12357,33,4,24495.33,0,0
12358,2,7,5055.13,0,0
12359,58,14,15183.42,0,0
12360,52,11,6914.95,0,0
12361,287,5,701.15,1,1
12362,3,21,10582.46,0,0
12363,110,4,1104.0,1,1
12364,8,8,2626.2,0,0
12365,291,4,1282.76,1,1
12366,634,1,500.24,1,1
12367,4,2,337.8,0,1
12368,628,1,917.6999999999999,1,1
12369,413,3,1791.15,1,1
12370,51,11,7858.5,0,0
12371,45,7,5955.34,0,0
12372,72,6,2596.08,0,0
12373,311,4,1492.25,1,1
12374,25,5,3732.15,0,0
12375,11,4,915.0,0,0
12376,390,2,503.15,1,1
12377,315,6,5054.44,1,0
12378,130,3,9424.94,1,0
12379,82,6,2472.46,0,0
12380,22,15,12401.11,0,0
12381,5,10,3690.62,0,0
12383,185,10,3701.12,1,0
12384,29,4,1170.54,0,0
12385,379,1,1938.4,1,1
12386,338,4,803.8,1,1
12387,415,1,143.94,1,1
12388,16,14,6681.77,0,0
12389,403,3,1433.33,1,1
12390,80,2,1099.68,0,1
12391,22,7,3164.5,0,0
12392,591,1,234.75000000000003,1,1
12393,72,10,3982.05,0,0
12394,64,4,2544.96,0,0
12395,19,27,7739.8,0,0
12396,674,1,931.43,1,1
12397,36,4,4819.8,0,0
12398,46,2,3271.3199999999997,0,1
12399,119,11,3070.95,1,0
12400,414,1,205.25,1,1
12401,303,2,168.6,1,1
12402,323,7,1482.5,1,1
12403,50,3,1447.06,0,1
12404,682,1,63.24,1,1
12405,149,2,3420.78,1,1
12406,22,7,9805.66,0,0
12407,50,10,3416.2400000000002,0,0
12408,33,13,7229.32,0,0
12409,79,10,34491.96,0,0
12410,309,5,1707.04,1,1
12411,410,1,346.9,1,1
12412,75,9,3823.81,0,0
12413,67,7,1757.55,0,0
12414,217,9,1514.82,1,1
12415,24,49,43467.106499999914,0,0
12416,657,1,202.56,1,1
12417,3,29,10446.51,0,0
12418,113,5,2689.78,1,0
12419,386,2,503.01,1,1
12420,64,2,1200.78,0,1
12421,16,10,1905.64,0,0
12422,96,20,6035.36,1,0
12423,1,18,4481.7,0,0
12424,163,6,5100.99,1,0
12425,78,3,2518.61,0,1
12426,195,3,1927.94,1,1
12427,22,6,1651.6,0,0
12428,26,18,15912.92,0,0
12429,9,12,9954.81,0,0
12430,43,2,512.8,0,1
12431,36,42,16852.17,0,0
12432,43,10,10118.64,0,0
12433,1,17,30170.01,0,0
12434,85,5,1909.57,0,1
12435,80,8,21755.82,0,0
12436,100,2,1018.02,1,1
12437,2,57,17634.81,0,0
12438,14,4,5813.7,0,0
12439,683,2,1142.88,1,1
12440,462,2,859.2,1,1
12441,367,2,347.1,1,1
12442,3,2,344.12,0,1
12443,726,1,485.31,1,1
12444,21,10,10010.92,0,0
12445,22,3,568.38,0,1
12446,58,2,2004.6200000000001,0,1
12447,243,2,952.98,1,1
12448,44,2,898.9,0,1
12449,22,10,8903.18,0,0
12450,156,7,886.08,1,1
12451,11,13,21705.4,0,0
12452,17,4,861.14,0,0
12453,134,2,1414.18,1,1
12454,56,6,20208.12,0,0
12455,73,16,8346.81,0,0
12456,44,6,6362.08,0,0
12457,66,15,5359.14,0,0
12458,71,6,2724.89,0,0
12459,605,1,454.36,1,1
12460,456,1,326.65,1,1
12461,94,4,1653.76,1,1
12462,19,4,2379.18,0,0
